set,language,singer,title,url,views,likes,comments,bonafide_or_spoof
Training,Mandarin,Bella_Yao,姚贝娜——也许明天 很少有这样人人都说好听的歌,https://www.bilibili.com/video/BV1wx411U7YC/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120,2337396,39087,3163,0
Training,Mandarin,Bella_Yao,【姚贝娜】 史诗绝唱《鱼》,https://www.bilibili.com/video/BV1kx411P7Xb/?spm_id_from=333.788.recommend_more_video.-1&vd_source=bda8c28f9763524b2b9bd9962b1b4120,2149226,46190,4505,0
Training,Mandarin,Bella_Yao,【4K修复】姚贝娜《随它吧》MV（《冰雪奇缘》中文主题曲片尾流行版）,https://www.bilibili.com/video/BV1E8411W7RG/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120,58577,1150,84,0
Training,Mandarin,Bella_Yao,【姚贝娜】听姚贝娜现场演唱《随它吧》，让人欲罢不能,https://www.bilibili.com/video/BV1CW411G7EQ/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,38177,303,49,0
Training,Mandarin,Bella_Yao,【4K 60fps】姚贝娜 - Beautiful Light 4K修复版 官方版MV 广汽丰田雅力士L致炫广告曲,https://www.bilibili.com/video/BV1mP4y1g7HX/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120,5306,153,34,0
Training,Mandarin,Bella_Yao,姚贝娜经典歌曲《菩萨蛮》，好听到爆，可惜才女却不在了,https://www.bilibili.com/video/BV1yb411K7zM/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120,627768,11234,268,0
Training,Mandarin,Bella_Yao,【姚贝娜】摇滚版《山歌好比春江水》 全程高能！很强很暴力！,https://www.bilibili.com/video/BV1pF411c7yV/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,8080,170,30,0
Training,Mandarin,Bella_Yao,【姚贝娜】元旦晚会唯美现场《画情》，直抵灵魂深处的好歌声,https://www.bilibili.com/video/BV1rx411L7Ay/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120,63426,965,55,0
Training,Mandarin,Bella_Yao,【演出106】离不开你-姚贝娜,https://www.bilibili.com/video/BV1qb411k7bM/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120,7607,132,24,0
Training,Mandarin,Bella_Yao,【姚贝娜】《我用所有报答爱》,https://www.bilibili.com/video/BV1DF411F7vn/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,8327,157,45,0
Training,Mandarin,Bella_Yao,【姚贝娜】最靓《小头发》现场，没错我就是来听歌的。。。,https://www.bilibili.com/video/BV16Y411J7r3/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,6600,187,73,0
